wkt_geom,NAME,ADDRESS,POSTAL,CITY,TYPE,LONGITUDE,LATITUDE
60,Society Of St. Vincent De Pa,60 Newcastle St,M8Y1A3,Toronto,Catholic,-79.49730746,43.61821488
61,St Leo'S Catholic Church,277 Royal York Rd,M8V2V8,Toronto,Catholic,-79.49700912,43.61427937
62,Diocese Of Toronto,135 Adelaide St E,M5C1L8,Toronto,Christian,-79.37416336,43.65123305
63,Church In The City,160 The Esplanade,M5A3T2,Toronto,Christian,-79.36906581,43.64897939
64,Scarboro Foreign Mission,2685 Kingston Rd,M1M1M4,Toronto,Catholic,-79.24086501,43.71691611
65,The Church Of St George,3566 St Clair Ave E,M1K1M2,Toronto,Christian,-79.25909243,43.71733333
66,Church Of God,3576 St Clair Ave E,M1K1M2,Toronto,Christian,-79.25800808,43.71752977
67,Dominion Worship Centre,689 Warden Ave,M1L4R6,Toronto,Christian,-79.27757764,43.70770787
68,St.Theresa'S Well Of Life,90 Northline Rd,M4B3E5,Toronto,Christian,-79.30658043,43.71688892
69,Christian Family Worship Cen,83 Sunrise Ave,M4A1A9,Toronto,Christian,-79.30690998,43.71795316
70,Refuge Tabernacle Of Jesus,83 Sunrise Ave,M4A1A9,Toronto,Christian,-79.30690998,43.71795316
71,True Jesus Church,69 Sunrise Ave,M4A1A9,Toronto,Christian,-79.30608237,43.71827502
72,World Ablaze Ministries,65 Sunrise Ave,M4A1A9,Toronto,Christian,-79.30578905,43.71832093
73,Church Of God (Seventh Day),36 Cranfield Rd,M4B3H3,Toronto,Christian,-79.31009537,43.71514289
74,Church Of St Columba,2723 St Clair Ave E,M4B1M8,Toronto,Christian,-79.31008254,43.70575214
75,Bible Stories Alive,2851 St Clair Ave E,M4B1N4,Toronto,Christian,-79.30397066,43.70702602
76,Our Lady Of Fatima Roman Cat,3170 St Clair Ave E,M1L1V6,Toronto,Catholic,-79.29418107,43.70967583
77,Clairlea Park Presbyterian C,3240 St Clair Ave E,,Toronto,Christian,-79.28929724,43.71052524
78,Dawes Road Gospel Church,383 Dawes Rd,M4B2E3,Toronto,Christian,-79.2966706,43.70126992
79,Christadelphian Ecclesia,975 Cosburn Ave,M4C2W8,Toronto,Christian,-79.3113918,43.6969313
80,Church Of The Resurrection,700 Milverton Blvd,M4C1X9,Toronto,Christian,-79.3148026,43.68897748
81,Church Of The Nazarene,363 Main St,M4C4X6,Toronto,Christian,-79.30258768,43.69038902
82,Dentonia Park United Church,107 Dawes Rd,M4C5B7,Toronto,Christian,-79.29666975,43.6921002
83,Faith Presbytherian Communit,140 Dawes Rd,M4C5C2,Toronto,Christian,-79.29763042,43.69378703
84,Birch Cliff United Church,33 East Rd,M1N1Z9,Toronto,Christian,-79.27151422,43.68804832
85,Birchcliff Orange Centre,57 Byng Ave,M1L3N8,Toronto,Christian,-79.28002396,43.6936498
86,Birchcliffe Heights United C,96 Highview Ave,M1N2H7,Toronto,Christian,-79.26142193,43.70109916
87,Fallingbrook Heights Baptist,255 Blantyre Ave,M1N2S2,Toronto,Christian,-79.28181326,43.68337173
