Intersection,PX,year,infractions
ELLESMERE RD. AND BELLAMY RD.,700,2017,290
MARKHAM RD. AND SHEPPARD AVE.,701,2007,
MARKHAM RD. AND SHEPPARD AVE.,701,2008,
MARKHAM RD. AND SHEPPARD AVE.,701,2009,
MARKHAM RD. AND SHEPPARD AVE.,701,2010,
MARKHAM RD. AND SHEPPARD AVE.,701,2011,
MARKHAM RD. AND SHEPPARD AVE.,701,2012,
MARKHAM RD. AND SHEPPARD AVE.,701,2013,
MARKHAM RD. AND SHEPPARD AVE.,701,2014,
MARKHAM RD. AND SHEPPARD AVE.,701,2015,
MARKHAM RD. AND SHEPPARD AVE.,701,2016,
MARKHAM RD. AND SHEPPARD AVE.,701,2017,571
MARKHAM RD AT ELLESMERE,702,2007,
MARKHAM RD AT ELLESMERE,702,2008,
MARKHAM RD AT ELLESMERE,702,2009,
MARKHAM RD AT ELLESMERE,702,2010,
MARKHAM RD AT ELLESMERE,702,2011,
MARKHAM RD AT ELLESMERE,702,2012,
MARKHAM RD AT ELLESMERE,702,2013,
MARKHAM RD AT ELLESMERE,702,2014,
MARKHAM RD AT ELLESMERE,702,2015,
MARKHAM RD AT ELLESMERE,702,2016,
MARKHAM RD AT ELLESMERE,702,2017,0
ISLINGTON AVE. AND THE WESTWAY,711,2007,0
ISLINGTON AVE. AND THE WESTWAY,711,2008,8
ISLINGTON AVE. AND THE WESTWAY,711,2009,308
ISLINGTON AVE. AND THE WESTWAY,711,2010,910
ISLINGTON AVE. AND THE WESTWAY,711,2011,385
ISLINGTON AVE. AND THE WESTWAY,711,2012,596
ISLINGTON AVE. AND THE WESTWAY,711,2013,833
ISLINGTON AVE. AND THE WESTWAY,711,2014,673
ISLINGTON AVE. AND THE WESTWAY,711,2015,689
ISLINGTON AVE. AND THE WESTWAY,711,2016,706
ISLINGTON AVE. AND THE WESTWAY,711,2017,480
ISLINGTON AVE. AND ALBION RD.,717,2007,
ISLINGTON AVE. AND ALBION RD.,717,2008,
ISLINGTON AVE. AND ALBION RD.,717,2009,
ISLINGTON AVE. AND ALBION RD.,717,2010,
ISLINGTON AVE. AND ALBION RD.,717,2011,
ISLINGTON AVE. AND ALBION RD.,717,2012,
ISLINGTON AVE. AND ALBION RD.,717,2013,
ISLINGTON AVE. AND ALBION RD.,717,2014,
ISLINGTON AVE. AND ALBION RD.,717,2015,
ISLINGTON AVE. AND ALBION RD.,717,2016,
ISLINGTON AVE. AND ALBION RD.,717,2017,67
REXDALE BLVD. AND KIPLING AVE.,729,2007,
REXDALE BLVD. AND KIPLING AVE.,729,2008,
REXDALE BLVD. AND KIPLING AVE.,729,2009,
REXDALE BLVD. AND KIPLING AVE.,729,2010,
REXDALE BLVD. AND KIPLING AVE.,729,2011,
REXDALE BLVD. AND KIPLING AVE.,729,2012,
REXDALE BLVD. AND KIPLING AVE.,729,2013,
REXDALE BLVD. AND KIPLING AVE.,729,2014,
REXDALE BLVD. AND KIPLING AVE.,729,2015,
REXDALE BLVD. AND KIPLING AVE.,729,2016,
REXDALE BLVD. AND KIPLING AVE.,729,2017,52
ALBION RD. AND KIPLING AVE.,734,2007,
ALBION RD. AND KIPLING AVE.,734,2008,
ALBION RD. AND KIPLING AVE.,734,2009,
ALBION RD. AND KIPLING AVE.,734,2010,
ALBION RD. AND KIPLING AVE.,734,2011,
ALBION RD. AND KIPLING AVE.,734,2012,
ALBION RD. AND KIPLING AVE.,734,2013,
ALBION RD. AND KIPLING AVE.,734,2014,
ALBION RD. AND KIPLING AVE.,734,2015,
ALBION RD. AND KIPLING AVE.,734,2016,
ALBION RD. AND KIPLING AVE.,734,2017,197
LESLIE ST. AND YORK MILLS RD.,755,2007,0
LESLIE ST. AND YORK MILLS RD.,755,2008,9
LESLIE ST. AND YORK MILLS RD.,755,2009,50
LESLIE ST. AND YORK MILLS RD.,755,2010,141
LESLIE ST. AND YORK MILLS RD.,755,2011,145
LESLIE ST. AND YORK MILLS RD.,755,2012,207
LESLIE ST. AND YORK MILLS RD.,755,2013,128
LESLIE ST. AND YORK MILLS RD.,755,2014,147
LESLIE ST. AND YORK MILLS RD.,755,2015,133
LESLIE ST. AND YORK MILLS RD.,755,2016,139
LESLIE ST. AND YORK MILLS RD.,755,2017,21
KIPLING AVE. AND HORNER AVE.,764,2007,0
KIPLING AVE. AND HORNER AVE.,764,2008,29
KIPLING AVE. AND HORNER AVE.,764,2009,20
KIPLING AVE. AND HORNER AVE.,764,2010,11
KIPLING AVE. AND HORNER AVE.,764,2011,5
KIPLING AVE. AND HORNER AVE.,764,2012,34
KIPLING AVE. AND HORNER AVE.,764,2013,35
KIPLING AVE. AND HORNER AVE.,764,2014,32
KIPLING AVE. AND HORNER AVE.,764,2015,20
KIPLING AVE. AND HORNER AVE.,764,2016,16
KIPLING AVE. AND HORNER AVE.,764,2017,1
ISLINGTON AVE. AND EVANS AVE.,775,2007,
ISLINGTON AVE. AND EVANS AVE.,775,2008,
ISLINGTON AVE. AND EVANS AVE.,775,2009,
ISLINGTON AVE. AND EVANS AVE.,775,2010,
ISLINGTON AVE. AND EVANS AVE.,775,2011,
ISLINGTON AVE. AND EVANS AVE.,775,2012,
ISLINGTON AVE. AND EVANS AVE.,775,2013,
ISLINGTON AVE. AND EVANS AVE.,775,2014,
ISLINGTON AVE. AND EVANS AVE.,775,2015,
ISLINGTON AVE. AND EVANS AVE.,775,2016,
ISLINGTON AVE. AND EVANS AVE.,775,2017,122
EGLINTON AVE. AND MARTIN GROVE RD.,786,2007,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2008,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2009,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2010,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2011,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2012,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2013,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2014,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2015,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2016,
EGLINTON AVE. AND MARTIN GROVE RD.,786,2017,561
REXDALE BLVD. AND MARTIN GROVE RD.,790,2007,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2008,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2009,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2010,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2011,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2012,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2013,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2014,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2015,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2016,
REXDALE BLVD. AND MARTIN GROVE RD.,790,2017,330
BLOOR ST. AND THE EAST MALL,792,2007,
BLOOR ST. AND THE EAST MALL,792,2008,
BLOOR ST. AND THE EAST MALL,792,2009,
BLOOR ST. AND THE EAST MALL,792,2010,
BLOOR ST. AND THE EAST MALL,792,2011,
BLOOR ST. AND THE EAST MALL,792,2012,
BLOOR ST. AND THE EAST MALL,792,2013,
BLOOR ST. AND THE EAST MALL,792,2014,
BLOOR ST. AND THE EAST MALL,792,2015,
BLOOR ST. AND THE EAST MALL,792,2016,
BLOOR ST. AND THE EAST MALL,792,2017,9
BLOOR ST. AND THE WEST MALL,793,2007,0
BLOOR ST. AND THE WEST MALL,793,2008,0
BLOOR ST. AND THE WEST MALL,793,2009,117
BLOOR ST. AND THE WEST MALL,793,2010,240
BLOOR ST. AND THE WEST MALL,793,2011,232
BLOOR ST. AND THE WEST MALL,793,2012,333
BLOOR ST. AND THE WEST MALL,793,2013,253
BLOOR ST. AND THE WEST MALL,793,2014,202
BLOOR ST. AND THE WEST MALL,793,2015,183
BLOOR ST. AND THE WEST MALL,793,2016,184
BLOOR ST. AND THE WEST MALL,793,2017,38
FINCH AVE. AND WILLOWDALE AVE.,807,2007,0
FINCH AVE. AND WILLOWDALE AVE.,807,2008,0
FINCH AVE. AND WILLOWDALE AVE.,807,2009,184
FINCH AVE. AND WILLOWDALE AVE.,807,2010,217
FINCH AVE. AND WILLOWDALE AVE.,807,2011,0
FINCH AVE. AND WILLOWDALE AVE.,807,2012,233
FINCH AVE. AND WILLOWDALE AVE.,807,2013,182
FINCH AVE. AND WILLOWDALE AVE.,807,2014,169
FINCH AVE. AND WILLOWDALE AVE.,807,2015,176
FINCH AVE. AND WILLOWDALE AVE.,807,2016,180
FINCH AVE. AND WILLOWDALE AVE.,807,2017,22
FINCH AVE. AND SENTINEL RD.,808,2007,
FINCH AVE. AND SENTINEL RD.,808,2008,
FINCH AVE. AND SENTINEL RD.,808,2009,
FINCH AVE. AND SENTINEL RD.,808,2010,
FINCH AVE. AND SENTINEL RD.,808,2011,
FINCH AVE. AND SENTINEL RD.,808,2012,
FINCH AVE. AND SENTINEL RD.,808,2013,
FINCH AVE. AND SENTINEL RD.,808,2014,
FINCH AVE. AND SENTINEL RD.,808,2015,
FINCH AVE. AND SENTINEL RD.,808,2016,
FINCH AVE. AND SENTINEL RD.,808,2017,341
FINCH AVE. AND SIGNET DR.,810,2007,
FINCH AVE. AND SIGNET DR.,810,2008,
FINCH AVE. AND SIGNET DR.,810,2009,
FINCH AVE. AND SIGNET DR.,810,2010,
FINCH AVE. AND SIGNET DR.,810,2011,
FINCH AVE. AND SIGNET DR.,810,2012,
FINCH AVE. AND SIGNET DR.,810,2013,
FINCH AVE. AND SIGNET DR.,810,2014,
FINCH AVE. AND SIGNET DR.,810,2015,
FINCH AVE. AND SIGNET DR.,810,2016,
FINCH AVE. AND SIGNET DR.,810,2017,523
DUPONT ST. AND LANSDOWNE AVE.,844,2007,0
DUPONT ST. AND LANSDOWNE AVE.,844,2008,380
DUPONT ST. AND LANSDOWNE AVE.,844,2009,177
DUPONT ST. AND LANSDOWNE AVE.,844,2010,116
DUPONT ST. AND LANSDOWNE AVE.,844,2011,216
DUPONT ST. AND LANSDOWNE AVE.,844,2012,380
DUPONT ST. AND LANSDOWNE AVE.,844,2013,331
DUPONT ST. AND LANSDOWNE AVE.,844,2014,237
DUPONT ST. AND LANSDOWNE AVE.,844,2015,346
DUPONT ST. AND LANSDOWNE AVE.,844,2016,742
DUPONT ST. AND LANSDOWNE AVE.,844,2017,1518
FINCH AVE. AND LESLIE ST.,868,2007,0
FINCH AVE. AND LESLIE ST.,868,2008,38
FINCH AVE. AND LESLIE ST.,868,2009,123
FINCH AVE. AND LESLIE ST.,868,2010,260
FINCH AVE. AND LESLIE ST.,868,2011,203
FINCH AVE. AND LESLIE ST.,868,2012,229
FINCH AVE. AND LESLIE ST.,868,2013,241
FINCH AVE. AND LESLIE ST.,868,2014,194
FINCH AVE. AND LESLIE ST.,868,2015,137
FINCH AVE. AND LESLIE ST.,868,2016,195
FINCH AVE. AND LESLIE ST.,868,2017,92
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2007,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2008,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2009,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2010,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2011,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2012,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2013,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2014,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2015,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2016,
FINCH AVE. AND NORFINCH DR. / OAKDALE RD.,870,2017,35
MARKHAM RD. AND PROGRESS AVE.,878,2007,
MARKHAM RD. AND PROGRESS AVE.,878,2008,
MARKHAM RD. AND PROGRESS AVE.,878,2009,
MARKHAM RD. AND PROGRESS AVE.,878,2010,
MARKHAM RD. AND PROGRESS AVE.,878,2011,
MARKHAM RD. AND PROGRESS AVE.,878,2012,
MARKHAM RD. AND PROGRESS AVE.,878,2013,
MARKHAM RD. AND PROGRESS AVE.,878,2014,
MARKHAM RD. AND PROGRESS AVE.,878,2015,
MARKHAM RD. AND PROGRESS AVE.,878,2016,
MARKHAM RD. AND PROGRESS AVE.,878,2017,23
THE QUEENSWAY AND THE EAST MALL,911,2007,
THE QUEENSWAY AND THE EAST MALL,911,2008,
THE QUEENSWAY AND THE EAST MALL,911,2009,
THE QUEENSWAY AND THE EAST MALL,911,2010,
THE QUEENSWAY AND THE EAST MALL,911,2011,
THE QUEENSWAY AND THE EAST MALL,911,2012,
THE QUEENSWAY AND THE EAST MALL,911,2013,
THE QUEENSWAY AND THE EAST MALL,911,2014,
THE QUEENSWAY AND THE EAST MALL,911,2015,
THE QUEENSWAY AND THE EAST MALL,911,2016,
THE QUEENSWAY AND THE EAST MALL,911,2017,174
THE QUEENSWAY AND THE WEST MALL,912,2007,0
THE QUEENSWAY AND THE WEST MALL,912,2008,27
THE QUEENSWAY AND THE WEST MALL,912,2009,216
THE QUEENSWAY AND THE WEST MALL,912,2010,79
THE QUEENSWAY AND THE WEST MALL,912,2011,224
THE QUEENSWAY AND THE WEST MALL,912,2012,369
THE QUEENSWAY AND THE WEST MALL,912,2013,494
THE QUEENSWAY AND THE WEST MALL,912,2014,811
THE QUEENSWAY AND THE WEST MALL,912,2015,346
THE QUEENSWAY AND THE WEST MALL,912,2016,368
THE QUEENSWAY AND THE WEST MALL,912,2017,400
THE QUEENSWAY AND NORTH QUEEN ST.,917,2007,0
THE QUEENSWAY AND NORTH QUEEN ST.,917,2008,1
THE QUEENSWAY AND NORTH QUEEN ST.,917,2009,71
THE QUEENSWAY AND NORTH QUEEN ST.,917,2010,119
THE QUEENSWAY AND NORTH QUEEN ST.,917,2011,126
THE QUEENSWAY AND NORTH QUEEN ST.,917,2012,201
THE QUEENSWAY AND NORTH QUEEN ST.,917,2013,186
THE QUEENSWAY AND NORTH QUEEN ST.,917,2014,116
THE QUEENSWAY AND NORTH QUEEN ST.,917,2015,111
THE QUEENSWAY AND NORTH QUEEN ST.,917,2016,197
THE QUEENSWAY AND NORTH QUEEN ST.,917,2017,68
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2007,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2008,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2009,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2010,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2011,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2012,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2013,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2014,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2015,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2016,
KENNEDY RD. AND WILLIAM KITCHEN RD.,920,2017,104
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2007,0
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2008,369
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2009,1218
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2010,1235
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2011,1113
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2012,1351
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2013,914
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2014,844
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2015,901
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2016,1322
WARDEN AVE. AND ARKONA DR. / CLOVERLEAF GT.,927,2017,1223
SHEPPARD AVE. AND MCCOWAN RD.,938,2007,
SHEPPARD AVE. AND MCCOWAN RD.,938,2008,
SHEPPARD AVE. AND MCCOWAN RD.,938,2009,
SHEPPARD AVE. AND MCCOWAN RD.,938,2010,
SHEPPARD AVE. AND MCCOWAN RD.,938,2011,
SHEPPARD AVE. AND MCCOWAN RD.,938,2012,
SHEPPARD AVE. AND MCCOWAN RD.,938,2013,
SHEPPARD AVE. AND MCCOWAN RD.,938,2014,
SHEPPARD AVE. AND MCCOWAN RD.,938,2015,
SHEPPARD AVE. AND MCCOWAN RD.,938,2016,
SHEPPARD AVE. AND MCCOWAN RD.,938,2017,453
BURNHAMTHORPE RD. AND THE EAST MALL,948,2007,0
BURNHAMTHORPE RD. AND THE EAST MALL,948,2008,241
BURNHAMTHORPE RD. AND THE EAST MALL,948,2009,328
BURNHAMTHORPE RD. AND THE EAST MALL,948,2010,168
BURNHAMTHORPE RD. AND THE EAST MALL,948,2011,161
BURNHAMTHORPE RD. AND THE EAST MALL,948,2012,0
BURNHAMTHORPE RD. AND THE EAST MALL,948,2013,504
BURNHAMTHORPE RD. AND THE EAST MALL,948,2014,422
BURNHAMTHORPE RD. AND THE EAST MALL,948,2015,504
BURNHAMTHORPE RD. AND THE EAST MALL,948,2016,530
BURNHAMTHORPE RD. AND THE EAST MALL,948,2017,314
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2007,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2008,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2009,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2010,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2011,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2012,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2013,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2014,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2015,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2016,
JANE ST. AND STONG CRT. / YORK GATE BLVD.,972,2017,326
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2007,0
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2008,0
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2009,610
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2010,795
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2011,618
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2012,491
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2013,692
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2014,556
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2015,555
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2016,507
BIRCHMOUNT RD. AND HUNTINGWOOD DR.,987,2017,354
FINCH AVE. AND MARTIN GROVE RD.,992,2007,
FINCH AVE. AND MARTIN GROVE RD.,992,2008,
FINCH AVE. AND MARTIN GROVE RD.,992,2009,
FINCH AVE. AND MARTIN GROVE RD.,992,2010,
FINCH AVE. AND MARTIN GROVE RD.,992,2011,
FINCH AVE. AND MARTIN GROVE RD.,992,2012,
FINCH AVE. AND MARTIN GROVE RD.,992,2013,
FINCH AVE. AND MARTIN GROVE RD.,992,2014,
FINCH AVE. AND MARTIN GROVE RD.,992,2015,
FINCH AVE. AND MARTIN GROVE RD.,992,2016,
FINCH AVE. AND MARTIN GROVE RD.,992,2017,123
ALBION RD. AND FINCH AVE.,1001,2007,0
ALBION RD. AND FINCH AVE.,1001,2008,0
ALBION RD. AND FINCH AVE.,1001,2009,93
ALBION RD. AND FINCH AVE.,1001,2010,171
ALBION RD. AND FINCH AVE.,1001,2011,145
ALBION RD. AND FINCH AVE.,1001,2012,251
ALBION RD. AND FINCH AVE.,1001,2013,160
ALBION RD. AND FINCH AVE.,1001,2014,110
ALBION RD. AND FINCH AVE.,1001,2015,70
ALBION RD. AND FINCH AVE.,1001,2016,143
ALBION RD. AND FINCH AVE.,1001,2017,32
ALBION RD. AND FINCH AVE.,1001,2007,
ALBION RD. AND FINCH AVE.,1001,2008,
ALBION RD. AND FINCH AVE.,1001,2009,
ALBION RD. AND FINCH AVE.,1001,2010,
ALBION RD. AND FINCH AVE.,1001,2011,
ALBION RD. AND FINCH AVE.,1001,2012,
ALBION RD. AND FINCH AVE.,1001,2013,
ALBION RD. AND FINCH AVE.,1001,2014,
ALBION RD. AND FINCH AVE.,1001,2015,
ALBION RD. AND FINCH AVE.,1001,2016,
ALBION RD. AND FINCH AVE.,1001,2017,116
ELLESMERE RD. AND MILITARY TRL.,1082,2007,0
ELLESMERE RD. AND MILITARY TRL.,1082,2008,0
ELLESMERE RD. AND MILITARY TRL.,1082,2009,81
ELLESMERE RD. AND MILITARY TRL.,1082,2010,684
ELLESMERE RD. AND MILITARY TRL.,1082,2011,531
ELLESMERE RD. AND MILITARY TRL.,1082,2012,667
ELLESMERE RD. AND MILITARY TRL.,1082,2013,539
ELLESMERE RD. AND MILITARY TRL.,1082,2014,691
ELLESMERE RD. AND MILITARY TRL.,1082,2015,589
ELLESMERE RD. AND MILITARY TRL.,1082,2016,564
ELLESMERE RD. AND MILITARY TRL.,1082,2017,392
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2007,0
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2008,1416
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2009,1962
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2010,2291
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2011,1966
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2012,2210
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2013,1589
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2014,1093
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2015,1163
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2016,1994
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2017,1934
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2007,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2008,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2009,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2010,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2011,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2012,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2013,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2014,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2015,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2016,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2017,261
STEELES AVE. AND HILDA AVE.,1115,2007,25
STEELES AVE. AND HILDA AVE.,1115,2008,625
STEELES AVE. AND HILDA AVE.,1115,2009,527
STEELES AVE. AND HILDA AVE.,1115,2010,760
STEELES AVE. AND HILDA AVE.,1115,2011,846
STEELES AVE. AND HILDA AVE.,1115,2012,1000
STEELES AVE. AND HILDA AVE.,1115,2013,906
STEELES AVE. AND HILDA AVE.,1115,2014,632
STEELES AVE. AND HILDA AVE.,1115,2015,710
STEELES AVE. AND HILDA AVE.,1115,2016,786
STEELES AVE. AND HILDA AVE.,1115,2017,501
STEELES AVE. AND BIRCHMOUNT RD.,1138,2007,0
STEELES AVE. AND BIRCHMOUNT RD.,1138,2008,0
STEELES AVE. AND BIRCHMOUNT RD.,1138,2009,276
STEELES AVE. AND BIRCHMOUNT RD.,1138,2010,209
STEELES AVE. AND BIRCHMOUNT RD.,1138,2011,411
STEELES AVE. AND BIRCHMOUNT RD.,1138,2012,482
STEELES AVE. AND BIRCHMOUNT RD.,1138,2013,345
STEELES AVE. AND BIRCHMOUNT RD.,1138,2014,295
STEELES AVE. AND BIRCHMOUNT RD.,1138,2015,289
STEELES AVE. AND BIRCHMOUNT RD.,1138,2016,318
STEELES AVE. AND BIRCHMOUNT RD.,1138,2017,183
FINCH AVE. AND BIRCHMOUNT RD.,1138,2007,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2008,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2009,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2010,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2011,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2012,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2013,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2014,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2015,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2016,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2017,108
ALBION RD. AND SILVERSTONE DR.,1156,2007,222
ALBION RD. AND SILVERSTONE DR.,1156,2008,1467
ALBION RD. AND SILVERSTONE DR.,1156,2009,1137
ALBION RD. AND SILVERSTONE DR.,1156,2010,1092
ALBION RD. AND SILVERSTONE DR.,1156,2011,975
ALBION RD. AND SILVERSTONE DR.,1156,2012,1213
ALBION RD. AND SILVERSTONE DR.,1156,2013,1289
ALBION RD. AND SILVERSTONE DR.,1156,2014,1071
ALBION RD. AND SILVERSTONE DR.,1156,2015,779
ALBION RD. AND SILVERSTONE DR.,1156,2016,797
ALBION RD. AND SILVERSTONE DR.,1156,2017,604
HIGHWAY 27 AND FINCH AVE.,1163,2007,
HIGHWAY 27 AND FINCH AVE.,1163,2008,
HIGHWAY 27 AND FINCH AVE.,1163,2009,
HIGHWAY 27 AND FINCH AVE.,1163,2010,
HIGHWAY 27 AND FINCH AVE.,1163,2011,
HIGHWAY 27 AND FINCH AVE.,1163,2012,
HIGHWAY 27 AND FINCH AVE.,1163,2013,
HIGHWAY 27 AND FINCH AVE.,1163,2014,
HIGHWAY 27 AND FINCH AVE.,1163,2015,
HIGHWAY 27 AND FINCH AVE.,1163,2016,
HIGHWAY 27 AND FINCH AVE.,1163,2017,346
FINCH AVE. AND BRIMLEY RD.,1178,2007,
FINCH AVE. AND BRIMLEY RD.,1178,2008,
FINCH AVE. AND BRIMLEY RD.,1178,2009,
FINCH AVE. AND BRIMLEY RD.,1178,2010,
FINCH AVE. AND BRIMLEY RD.,1178,2011,
FINCH AVE. AND BRIMLEY RD.,1178,2012,
FINCH AVE. AND BRIMLEY RD.,1178,2013,
FINCH AVE. AND BRIMLEY RD.,1178,2014,
FINCH AVE. AND BRIMLEY RD.,1178,2015,
FINCH AVE. AND BRIMLEY RD.,1178,2016,
FINCH AVE. AND BRIMLEY RD.,1178,2017,123
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2007,0
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2008,60
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2009,27
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2010,48
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2011,67
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2012,82
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2013,86
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2014,95
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2015,95
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2016,78
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2017,20
STEELES AVE. AND ISLINGTON AVE.,1208,2007,0
STEELES AVE. AND ISLINGTON AVE.,1208,2008,34
STEELES AVE. AND ISLINGTON AVE.,1208,2009,193
