long,lat,incident_date,incident_time,location
-79.38721353,43.65399556,06/10/2015,1320,393 UNIVERSITY AV
-79.4188313,43.65392357,07/02/2015,919,398 CRAWFORD ST
-79.40568848,43.65309479,09/04/2014,2110,399 BATHURST ST
-79.40568848,43.65309479,11/14/2014,2130,399 BATHURST ST
-79.40568848,43.65309479,03/17/2015,2015,399 BATHURST ST
-79.380118,43.661712,12/16/2014,1045,40 CARLTON ST
-79.35133284,43.67744956,07/19/2015,2054,407 DANFORTH AV
-79.37419846,43.66472494,06/28/2014,1030,410 SHERBOURNE ST
-79.39528383,43.65318692,05/21/2015,1155,421 DUNDAS ST W
-79.39528383,43.65318692,09/18/2016,2248,421 DUNDAS ST W
-79.40611513,43.66024703,07/14/2015,1830,43 ULSTER ST
-79.43322421,43.65793079,07/16/2016,1330,434 GLADSTONE AV
-79.41354154,43.67317023,08/02/2015,1042,435 DUPONT ST
-79.37947942,43.66167957,11/16/2016,1830,436 CHURCH ST
-79.39878066,43.64589222,08/26/2016,1530,443 ADELAIDE ST W
-79.38043818,43.66138667,09/12/2014,1800,45 CARLTON ST
-79.38043818,43.66138667,06/07/2015,1714,45 CARLTON ST
-79.36886747,43.66568507,09/14/2015,1830,45 WINCHESTER ST
-79.24828973,43.74652611,08/09/2014,1515,48 SEMINOLE AV
-79.39736863,43.65321531,08/26/2016,1320,482 DUNDAS ST W
-79.40075314,43.65829412,07/03/2014,1952,484 SPADINA AV
-79.41261507,43.7653441,06/26/2014,1625,4968 YONGE ST
-79.38831795,43.67038727,07/24/2014,1014,50 BLOOR ST W
-79.35721355,43.68805502,05/25/2016,1630,50 HILLSIDE DR
-79.37624487,43.64977467,10/14/2016,858,50 KING ST E
-79.44077181,43.69311558,10/18/2016,1900,509 OAKWOOD AV
-79.36830123,43.66576641,10/15/2016,1730,51 WINCHESTER ST
-79.39700017,43.64529396,07/26/2014,1340,510 KING ST W
-79.30191805,43.6776003,09/25/2016,2247,517 KINGSTON RD
-79.41087483,43.65557488,11/04/2015,920,531 COLLEGE ST
-79.44178189,43.64126672,09/28/2016,1719,54 SORAUREN AV
-79.39878369,43.64433228,05/17/2014,5,545 KING ST W
-79.41194757,43.65592858,07/18/2016,1210,550 COLLEGE ST
-79.40308006,43.64765067,09/21/2015,1045,552 QUEEN ST W
-79.42117061,43.65790943,05/02/2015,1430,559 SHAW ST
-79.41247609,43.65571853,10/24/2014,1218,564 COLLEGE ST
-79.33992915,43.67868031,05/18/2016,1001,572 JONES AV
-79.45711129,43.65777123,10/17/2014,1000,578A INDIAN RD
-79.41337746,43.65505774,09/30/2014,1255,587 COLLEGE ST
-79.34603225,43.66991081,07/06/2015,2047,589 LOGAN AV
-79.3904451,43.65753641,06/23/2015,1500,600 UNIVERSITY AV
-79.3904451,43.65753641,07/05/2015,2023,600 UNIVERSITY AV
