ID,NAME,ADDRESS_OR_INTERSECTION,POSTAL_CODE,FORMER_MUNICIPALITY,GC_LONGITUDE,GC_LATITUDE,TYPE
90,Greenview Lodge,880 Lawrence Avenue E.,M3C 1P6,Toronto,-79.34876473,43.73637066,Retirement Home
91,McCowan Retirement Residence,2881 Eglinton Avenue  E.,M1J 0A2,Toronto,-79.23961464,43.73806609,Retirement Home
92,Shepherd Terrace Retirement Residence,3758 Sheppard Avenue E.,M1T 3K9,Toronto,-79.29465998,43.78205551,Retirement Home
93,Advent Forestview Retirement Residence,537 Finch Avenue  W.,M2R 0A8,Toronto,-79.44538093,43.77012498,Retirement Home
94,Chartwell Grenadier Retirement Residence,2100 Bloor Street W.,M6S 1M7,Toronto,-79.47099939,43.65261214,Retirement Home
95,Kensington Place Retirement Residence,866 Sheppard Avenue W.,M3H 2T5,Toronto,-79.45369468,43.75255348,Retirement Home
96,L'chaim Retirement Homes Inc.,718 Sheppard Avenue W.,M3H 2S6,Toronto,-79.44533533,43.75438161,Retirement Home
97,New Horizons Tower,1140 Bloor Street  W.,M6H 4E6,Toronto,-79.4360228,43.65994327,Retirement Home
98,St. Bernard's Residence,685 Finch Avenue W.,M2R 1P2,Toronto,-79.45688648,43.77052219,Retirement Home
99,The Russell Hill Retirement Residence,262 St. Clair Avenue W.,M4V 1R8,Toronto,-79.40836133,43.68551444,Retirement Home
100,Chartwell Scarlett Heights Retirement Residence (Formerly Known as Scarlett Heights Retirement Residence),4005 Eglinton Avenue W.,M9A 5H3,Etobicoke,-79.51974399,43.68267564,Retirement Home
101,Delmanor Prince Edward,4180 Dundas Street W.,M8X 1X8,Etobicoke,-79.51005965,43.66120404,Retirement Home
102,Elim Springs Retirement Residence,3838 Bloor Street W.,M9B 1L1,Etobicoke,-79.53889661,43.64135471,Retirement Home
103,Kingsway,4251 Dundas Street  W.,M8X 2Z5,Etobicoke,-79.5144541,43.65888063,Retirement Home
104,Tapestry at Village Gate West,15 Summerland Terrace,M9A 0B5,Toronto,-79.53227262,43.64404425,Retirement Home
105,A Better Way Retirement Home Corp.,34 Middleport Crescent,M1B 4L1,Scarborough,-79.21706056,43.81549241,Retirement Home
106,A Better Way Retirement Home Corp.,22 Purpledusk Trail,M1E 4C7,Scarborough,-79.2076128,43.7836522,Retirement Home
107,Alexis Lodge Retirement Residence,705 - 707 Ellesmere Road,M1P 2W1,Scarborough,-79.28865691,43.7637446,Retirement Home
108,Arul Oli Senior Centre,8 Snowy Owl Way,M1X 0B4,Scarborough,-79.23442339,43.83206342,Retirement Home
109,Bethseda Home,67 Belgreen Avenue,M1S 1H5,Scarborough,-79.29034975,43.79522818,Retirement Home
110,Bethseda Home,76 Silversted Drive,M1S 3A5,Scarborough,-79.26623084,43.80183841,Retirement Home
111,Bethseda Home,4 Partridge Lane,M1T 3C6,Scarborough,-79.29919393,43.7990015,Retirement Home
